,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
11,2016,2016,NE,Nebraska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.5,31.5,,,28.4,34.8,2201.0,,,,,"$15,000 - $24,999",,"(41.641040988001, -99.365720623)",PA,PA1,Q047,VALUE,31,Income,"$15,000 - $24,999",INC,INC1525
12,2019,2019,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.1,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(38.66551020200046, -80.71264013499967)",PA,PA1,Q045,VALUE,54,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
13,2022,2022,TN,Tennessee,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.1,44.1,,,37.0,51.4,323.0,,,,,"Less than $15,000",,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q036,VALUE,47,Income,"Less than $15,000",INC,INCLESS15
14,2019,2019,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,37.9,37.9,,,29.6,46.9,197.0,,,Less than high school,,,,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q046,VALUE,50,Education,Less than high school,EDU,EDUHS
15,2019,2019,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,39.0,39.0,,,36.0,42.0,1748.0,,65 or older,,,,,"(35.68094058000048, -85.77449091399967)",PA,PA1,Q045,VALUE,47,Age (years),65 or older,AGEYR,AGEYR65PLUS
16,2021,2021,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,25.6,,,20.0,32.1,282.0,,,,,,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",PA,PA1,Q047,VALUE,4,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
17,2020,2020,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.3,44.3,,,38.8,50.0,791.0,,,,,"Less than $15,000",,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,VALUE,31,Income,"Less than $15,000",INC,INCLESS15
18,2022,2022,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.3,30.3,,,27.2,33.6,1186.0,,35 - 44,,,,,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q037,VALUE,55,Age (years),35 - 44,AGEYR,AGEYR3544
19,2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,29.3,29.3,,,24.0,35.4,545.0,,,,,"$25,000 - $34,999",,"(41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Income,"$25,000 - $34,999",INC,INC2535
20,2017,2017,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.7,32.7,,,30.5,35.0,2945.0,,,,Male,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q036,VALUE,42,Gender,Male,GEN,MALE
21,2019,2019,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,38.7,38.7,,,37.8,39.5,38468.0,,25 - 34,,,,,,PA,PA1,Q046,VALUE,59,Age (years),25 - 34,AGEYR,AGEYR2534
22,2014,2014,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,,,34.8,38.4,7269.0,Total,,,,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q037,VALUE,38,Total,Total,OVR,OVERALL
23,2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.9,16.9,,,15.4,18.4,3808.0,,,College graduate,,,,"(44.6613195430005, -84.71439026999968)",FV,FV1,Q019,VALUE,26,Education,College graduate,EDU,EDUCOGRAD
24,2022,2022,IL,Illinois,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.2,32.2,,,28.5,36.2,835.0,,,High school graduate,,,,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q037,VALUE,17,Education,High school graduate,EDU,EDUHSGRAD
25,2019,2019,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.3,31.3,,,27.3,35.7,735.0,,,,,"$35,000 - $49,999",,"(35.47203135600046, -97.52107021399968)",PA,PA1,Q047,VALUE,40,Income,"$35,000 - $49,999",INC,INC3550
26,2019,2019,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,49.8,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(43.682630005000476, -114.3637300419997)",PA,PA1,Q043,VALUE,16,Race/Ethnicity,Asian,RACE,RACEASN
27,2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,29.6,29.6,,,14.5,51.1,50.0,,,,,,Other,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,VALUE,50,Race/Ethnicity,Other,RACE,RACEOTH
28,2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,41.0,41.0,,,37.9,44.1,1382.0,,,,,"$50,000 - $74,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,VALUE,19,Income,"$50,000 - $74,999",INC,INC5075
29,2015,2015,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,17.8,17.8,,,9.3,31.5,53.0,,,,,,2 or more races,"(47.475319779, -100.118421049)",PA,PA1,Q047,VALUE,38,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
30,2021,2021,AR,Arkansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,42.5,42.5,,,38.8,46.1,1536.0,,,,,Data not reported,,"(34.74865012400045, -92.27449074299966)",FV,FV1,Q018,VALUE,5,Income,Data not reported,INC,INCNR
31,2013,2013,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,24.5,35.0,528.0,,,,,"$25,000 - $34,999",,"(43.655950113, -71.50036092)",OWS,OWS1,Q036,VALUE,33,Income,"$25,000 - $34,999",INC,INC2535
32,2012,2012,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.3,35.3,,,32.5,38.2,2889.0,,,Some college or technical school,,,,"(39.290580964, -76.609260111)",OWS,OWS1,Q037,VALUE,24,Education,Some college or technical school,EDU,EDUCOTEC
33,2022,2022,MO,Missouri,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.0,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,VALUE,29,Race/Ethnicity,Other,RACE,RACEOTH
34,2018,2018,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.2,27.2,,,22.4,32.5,433.0,,35 - 44,,,,,"(34.74865012400045, -92.27449074299966)",PA,PA1,Q047,VALUE,5,Age (years),35 - 44,AGEYR,AGEYR3544
35,2015,2015,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.7,36.7,,,31.4,42.3,425.0,,,,,,Hispanic,"(40.485010283, -88.997710178)",OWS,OWS1,Q037,VALUE,17,Race/Ethnicity,Hispanic,RACE,RACEHIS
36,2015,2015,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.1,24.1,,,22.1,26.2,3234.0,,,,Female,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Gender,Female,GEN,FEMALE
37,2012,2012,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.2,22.2,,,21.0,23.4,6628.0,,,,,,Non-Hispanic White,"(42.469400913, -93.816490556)",PA,PA1,Q047,VALUE,19,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
38,2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.9,38.9,,,34.9,43.1,773.0,,,,,,Hispanic,"(39.360700171, -111.587130635)",OWS,OWS1,Q037,VALUE,49,Race/Ethnicity,Hispanic,RACE,RACEHIS
39,2018,2018,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,10.4,10.4,,,8.6,12.5,2489.0,,,,,"$75,000 or greater",,"(45.254228894000505, -68.98503133599962)",PA,PA1,Q047,VALUE,23,Income,"$75,000 or greater",INC,INC75PLUS
40,2020,2020,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,27.1,27.1,,,20.4,34.9,213.0,,,,,,2 or more races,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q037,VALUE,24,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
41,2017,2017,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,26.6,26.6,,,20.9,33.1,364.0,,,,,"$25,000 - $34,999",,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Income,"$25,000 - $34,999",INC,INC2535
42,2015,2015,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,23.9,23.9,,,18.6,30.2,491.0,,,Less than high school,,,,"(31.312660644, -92.445680071)",PA,PA1,Q046,VALUE,22,Education,Less than high school,EDU,EDUHS
43,2019,2019,LA,Louisiana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,47.2,47.2,,,45.3,49.2,4061.0,Total,,,,,,"(31.31266064400046, -92.44568007099969)",FV,FV1,Q018,VALUE,22,Total,Total,OVR,OVERALL
44,2019,2019,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.1,27.1,,,25.2,29.1,4311.0,,,,,,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",PA,PA1,Q047,VALUE,13,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
45,2021,2021,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,,,31.1,35.1,3028.0,,65 or older,,,,,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,VALUE,18,Age (years),65 or older,AGEYR,AGEYR65PLUS
46,2019,2019,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.9,33.9,,,28.3,40.0,566.0,,,,,"$15,000 - $24,999",,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q036,VALUE,56,Income,"$15,000 - $24,999",INC,INC1525
47,2013,2013,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,38.5,38.5,,,32.6,44.6,658.0,,,,,,Non-Hispanic Black,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
48,2021,2021,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,50.0,50.0,,,43.0,57.0,513.0,,,,,,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
49,2013,2013,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.2,27.2,,,24.2,30.4,1318.0,,,College graduate,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Education,College graduate,EDU,EDUCOGRAD
50,2019,2019,GU,Guam,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,36.3,36.3,,,26.4,47.4,139.0,,,Less than high school,,,,"(13.444304, 144.793731)",FV,FV1,Q019,VALUE,66,Education,Less than high school,EDU,EDUHS
51,2011,2011,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28.3,28.3,,,25.5,31.3,2070.0,,45 - 54,,,,,"(33.998821303, -81.045371207)",PA,PA1,Q047,VALUE,45,Age (years),45 - 54,AGEYR,AGEYR4554
52,2015,2015,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.1,33.1,,,25.1,42.1,368.0,,,,,"$35,000 - $49,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
53,2013,2013,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,41.0,41.0,,,38.7,43.3,4053.0,,65 or older,,,,,"(39.290580964, -76.609260111)",OWS,OWS1,Q037,VALUE,24,Age (years),65 or older,AGEYR,AGEYR65PLUS
54,2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.9,24.9,,,23.5,26.4,5096.0,,,,Male,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q036,VALUE,49,Gender,Male,GEN,MALE
55,2011,2011,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,44.9,44.9,,,41.3,48.5,1586.0,,,High school graduate,,,,"(37.542680674, -78.457890463)",PA,PA1,Q043,VALUE,51,Education,High school graduate,EDU,EDUHSGRAD
56,2013,2013,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.2,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(34.86597028, -111.763811277)",PA,PA1,Q044,VALUE,4,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
57,2019,2019,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.7,36.7,,,33.7,39.7,1431.0,,,Less than high school,,,,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,VALUE,6,Education,Less than high school,EDU,EDUHS
58,2016,2016,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(44.353130053, -100.373530637)",PA,PA1,Q047,VALUE,46,Race/Ethnicity,Asian,RACE,RACEASN
59,2020,2020,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,14.6,14.6,,,7.8,25.6,138.0,,,,,,Asian,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Asian,RACE,RACEASN
60,2012,2012,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,,~,Data not available because sample size is insufficient.,,,,,,,,,Non-Hispanic Black,"(45.254228894001, -68.985031336)",PA,PA1,Q047,VALUE,23,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
61,2017,2017,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,30.9,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(44.567449424, -120.155031326)",PA,PA1,Q046,VALUE,41,Race/Ethnicity,Other,RACE,RACEOTH
62,2019,2019,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.0,20.0,,,18.0,22.1,2918.0,,,,Male,,,"(38.635790776000476, -92.56630005299968)",PA,PA1,Q044,VALUE,29,Gender,Male,GEN,MALE
63,2011,2011,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,58.2,58.2,,,54.7,61.7,1351.0,,55 - 64,,,,,"(43.682630005, -114.363730042)",PA,PA1,Q043,VALUE,16,Age (years),55 - 64,AGEYR,AGEYR5564
64,2013,2013,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,20.1,20.1,,,18.4,21.8,3422.0,,65 or older,,,,,"(40.793730152, -77.860700294)",PA,PA1,Q046,VALUE,42,Age (years),65 or older,AGEYR,AGEYR65PLUS
65,2015,2015,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,35.1,35.1,,,32.6,37.8,2097.0,,55 - 64,,,,,"(45.254228894001, -68.985031336)",PA,PA1,Q045,VALUE,23,Age (years),55 - 64,AGEYR,AGEYR5564
66,2019,2019,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,42.3,42.3,,,31.5,54.0,114.0,,,,,,2 or more races,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q037,VALUE,9,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
67,2015,2015,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.1,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(44.393191174, -89.816370742)",PA,PA1,Q045,VALUE,55,Race/Ethnicity,Other,RACE,RACEOTH
68,2022,2022,MI,Michigan,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.0,23.0,,,16.8,30.7,171.0,,,,,,2 or more races,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q047,VALUE,26,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
69,2011,2011,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,30.9,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(35.68094058, -85.774490914)",PA,PA1,Q046,VALUE,47,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
70,2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,26.6,26.6,,,22.5,31.3,767.0,,55 - 64,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q046,VALUE,2,Age (years),55 - 64,AGEYR,AGEYR5564
71,2018,2018,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.5,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(39.360700171000474, -111.58713063499971)",OWS,OWS1,Q037,VALUE,49,Race/Ethnicity,Other,RACE,RACEOTH
72,2019,2019,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,32.9,32.9,,,32.0,33.8,42155.0,,,,,"$35,000 - $49,999",,,PA,PA1,Q045,VALUE,59,Income,"$35,000 - $49,999",INC,INC3550
